AttractionName, CityName
Gua Kelam, Kangar
Alor Setar Tower, Alor Setar
Kedah Royal Meseum, Alor Setar
Paddy Meseum, Alor Setar
Kilim Geoforest Park, Langkawi
Eagle Square, Langkawi
Sky Bridge, Langkawi
Penang Hill, Georgetown
Kek Lok Si Temple, Georgetown
Cheong Fatt Tze, Georgetown
War Meseum, Bayan Lepas
Queensbay Mall, Bayan Lepas
Snake Temple, Bayan Lepas
Lost World of Tambun, Ipoh
Sunway Lagoon, Shah Alam
Sky Mirror, Shah Alam
Zoo Negara, Wangsa Maju
Royal Selangor Pewter Visitor Centre, Wangsa Maju
KLCC, Kuala Lumpur
Bukit Bintang, Kuala Lumpur
Pink Mosque, Putrajaya
Port Dickson Beach, Port Dickson
A'Famosa, Melaka City
Jonker Street, Melaka City
Pantai Cahaya Bulan, Kota Bharu
Pulau Redang, Kuala Terengganu
Taman Gelora, Kuantan
Sungai Pandan Waterfall, Kuantan
Teluk Cempedak Beach, Kuantan
Chin Swee Caves Temple, Bentong
Genting Skyworlds Theme Park, Bentong
Bentong Walk, Bentong
Legoland, Johor Bahru
Sipadan Island, Kota Kinabalu
Mount Kinabalu, Kota Kinabalu
Sarawak Cultural Village, Kuching
Mulu Caves, Kuching
